ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0345410122,maiden voyage,tania aebi,1996,ballantine
0786707410,close to the wind,pete goss,2000,carroll & graf
0446340952,fletch won,gregory mcdonald,1989,warner
0848716183,southern living: annual recipes serial,southern living,1997,leisure arts .
0765343428,aloha mr lucky,corson hirschfeld,2002,forge
074321546X,life strategies for teens,jay mcgraw,2000,fireside
0441586333,norby chronicles,isaac asimov,1986,ace
0671026267,pathways star trek: voyager,jeri taylor,1999,star trek
0671870831,the siege star trek deep space nine no,peter david,1993,star trek
1863682406,benang: from the heart,kim scott,1999,fremantle arts centre
0679721134,rules for radicals: a practical primer for realistic radicals,saul d alinsky,1989,vintage
0590679872,help: im trapped in my gym teachers body,todd strasser,1997,apple
0380706105,bunniculas pals harold howie and chester in hot fudge,james howe,1991,harpercollins juvenile
0070399042,sweet life: adventures on the way to paradise,barry manilow,1987,mcgraw-hill
0380733285,past reason hated: an inspector banks mystery,peter robinson,2000,avon
0394502949,cosmos,carl sagan,1980,random house
0345303059,: odyssey two,arthur clarke,1982,ballantine
0671638106,the book of the subgenius : being the divine wisdom guidance and prophecy of jr bob dobbs high epopt of the church of the subgenius here inscribed for the salvation of future generations and in the hope that slack may someday reign on this earth,jr dobbs,1987,fireside
044653126X,birth of an age the christ clone trilogy book two,james beauseigneur,2003,warner
0764551175,yoga for dummies,georg feuerstein,1999,for dummies
0866119663,the three musketeers great illustrated classics,alexandre dumas,1990,playmore .
1857023986,pollen,jeff noon,1995,harpercollins
0553250779,the conglomerated cocktail party bantam spectra book,robert silverberg,1985,bantam
0451405323,blind rage onyx true crime je,gary c king,1995,new amer library
0373835698,behind the red doors,vicki lewis thompson,2003,harlequin
0393057232,porno,irvine welsh,2002,w. w. norton & company
0743431006,dancing with the virgins : a constable ben cooper novel,stephen booth,2002,pocket
0553572261,saints rest,thomas gifford,1997,bantam
0373834101,harlequin th anniversary collection harlequin th anniversary collection,lavyrle spencer,1999,harlequin
0525937935,the quiet game,greg iles,1999,dutton
0312302894,looking for alaska,peter jenkins,2002,st. martin's
0671721763,hunting party,elizabeth moon,1993,baen
0140314067,the twits puffin books,roald dahl,1982,puffin
0880888393,dreams can come true,evelyn l beilenson,1998,peter pauper
0590483528,the cuckoo clock of doom goosebumps no,r l stine,1995,scholastic
1580623700,small miracles for women: extraordinary coincidences of heart and spirit,yitta halberstam mandelbaum,2000,adams media corporation
0140440585,metamorphoses penguin classics ed,ovid,1955,penguin
0140714103,othello the moor of venice the pelican shakespeare,william shakespeare,1987,penguin
0140440720,the twelve caesars penguin classics,suetonius,1991,penguin
0805420789,mary hunts debtproof living,mary hunt,1999,broadman & holman
0785274405,the indispensable qualities of a leader: becoming the person others will want to follow,john c maxwell,1999,nelson
0553267035,on the edge sweet valley high no,francine pascal,1987,sweet valley
0440440629,iggies house,judy blume,1975,yearling
0743535774,angels demons,dan brown,2003,audioworks
0380786699,haven,john r maxim,1998,avon
0553240404,osterman weekend,robert ludlum,1983,bantam doubleday dell
1551665700,whiskey island,emilie richards,2000,mira
0061091804,inventing memory: a novel of mothers and daughters,erica jong,1998,harper mass market
0670910260,miss julia takes over,ann b ross,2001,viking
0380646420,cat chaser,elmore leonard,1997,harper mass market
0307231046,i can do it myself: featuring jim hensons sesame street muppets,emily perl kingsley,1980,western pub. co. : children's televison workshop
8845215911,il pendolo di foucault,umberto eco,1997,distribooks
0312955758,the lives of danielle steel: the unauthorized biography of americas bestselling author,vickie bane,1995,st. martin's
0140089128,wide sargasso sea,jean rhys,1987,penguin putnam~
3426618664,das avalonprojekt,wolfgang hohlbein,2002,distribooks
3596103649,traumpfade roman,bruce chatwin,1992,"fischer , frankfurt"
0373871813,stranger at the crossroads love inspired,gena dalton,2002,steeple hill
0373031335,cloud holders harlequin romance no,bethany campbell,1991,harlequin
0373030967,high heaven harlequin romance no,quinn wilder,1990,harlequin
0373872054,shelter from the storm,cheryl wolverton,2003,steeple hill
0373709765,count on me harlequin superromance no,kathryn shay,2001,harlequin
0373871805,silver lining love inspired,kate welsh,2002,steeple hill
0821767984,the secret,kat martin,2001,zebra
0373705972,yanqui prince harlequin super romance no,janice kaiser,1994,harlequin
0373711204,the men of thorne island,cynthia thomason,2003,harlequin
082177509X,my favorite husband,pam mccutcheon,2003,zebra
037383473X,starting over,penny jordan,2001,harlequin
051511801X,devotion,katherine sutcliffe,1996,jove
0316126640,the last basselope : one ferocious story,berkeley breathed,2001,"little, brown"
156076340X,the companions dragonlance: the meetings sextet vol,tina daniell,1993,wizards of the coast
0553233491,space patrol,julius goodman,1983,bantam
0394745787,war of the twins dragonlance legends vol,margaret weis,1986,tsr hobbies
078691565X,dalamar the dark dragonlance classics vol,nancy varian berberick,2000,wizards of the coast
0061043559,murder must advertise,dorothy l sayers,1995,harpertorch
0671701118,in the night cafe,claire m johnson,1990,washington square
0060086661,lily dale: the true story of the town that talks to the dead,christine wicker,2003,harpersanfrancisco
0671520350,the ashes of eden star trek,william shatner,1995,pocket
0684807610,benjamin franklin : an american life,walter isaacson,2003,simon & schuster
0385185626,vampires: two centuries of great vampire stories,alan ryan,1987,doubleday
0679743650,th gen: abort retry ignore fail,neil howe,1993,vintage
0931432022,creative visualization,shakti gawain,1978,whatever pub
0671654179,paladin,cj cherryh,1988,baen
0449912752,city of darkness city of light,marge piercy,1997,ballantine
0451406648,a soul to take,c n bean,1996,onyx
0152045643,the bookstore mouse,peggy christian,2002,harcourt
0889740445,ravensong: a novel,lee maracle,1993,gang
0451180518,attack of the seawolf,michael dimercurio,1994,onyx
1565122259,educating esme: diary of a teachers first year,esme raji codell,1999,algonquin of chapel hill
0151001510,the island of the day before,umberto eco,1995,harcourt
0671024604,murder la connections,jackie collins,1998,pocket
0380704420,wait till helen comes : a ghost story avon camelot books paperback,mary downing hahn,1987,harpertrophy
1551661799,glory glory,jim miller,1996,mira
0310200970,what every mom needs,elisa morgan,1995,zondervan
0517570211,memories of childhood: oldfashioned rhymes poems recipes and songs,barbara milo ohrbach,1988,clarkson n potter
055325233X,daddylonglegs,jean webster,1982,bantam
0765341522,dont say a word,andrew klavan,2001,forge
3150000734,ein sommernachtstraum,william shakespeare,1999,"philipp reclam, jun verlag gmbh"
0385050631,i touch the earth the earth touches me,hugh prather,1972,main street
0743403363,the dream of the broken horses,william bayer,2002,atria
0671602551,body in library miss marple mysteries paperback,agatha christie,1985,pocket
0060199865,cultivating delight: a natural history of my garden,diane ackerman,2001,harpercollins
0816725594,secret garden watermill classic,frances hodgson burnett,1995,troll communications
0449221938,death for old times sake,aj orde,1994,fawcett
0345395328,murder at the feast of rejoicing lord meren mysteries paperback,lynda s robinson,1997,fawcett
0060975504,when nietzsche wept: a novel of obsession,irvin d yalom,1993,perennial
1858284422,the rough guide internet internet rough guides,angus j kennedy,1999,rough guides limited
0812567943,the magnificent savages,fred mustard stewart,1997,tor
0345331486,hells angels,h s thompson,1990,ballantine
0609603000,mario batali simple italian food: recipes from my two villages,mario batali,1998,clarkson n potter
0140185151,the fixer penguin twentiethcentury classics,bernard malamud,1994,penguin
0399137912,charms for the easy life,kaye gibbons,1993,putnam
0440773504,ramona quimby age,beverly cleary,1983,bantam doubleday dell
345309204X,das netz,wolfgang hohlbein,1995,heyne
0380976188,lucy sullivan is getting married,marian keyes,1999,william morrow & company
0451410599,cold silence,danielle girard,2002,onyx
1558533109,the little book of christmas joys : things to do for yourself and others that just might make this the best christmas ever,h jackson jr brown,1994,rutledge hill
0156364654,a good man is hard to find and other stories,flannery oconnor,1977,harvest
1580082718,why paint cats: the ethics of feline aesthetics,burton silver,2002,ten speed
0515132772,the duchess lover,julie beard,2002,jove
0765302705,callahans con,spider robinson,2003,tor
3150031737,maria magdalena,hebbel,1997,"philipp reclam, jun verlag gmbh"
3442442923,die tage vor los alamos,joseph kanon,1998,goldmann
3453082001,die prophezeiungen von celestine ein abenteuer,james redfield,1994,heyne
3423115815,das foucaultsche pendel fiction poetry and drama,eco,1992,deutscher taschenbuch verlag
3442451671,remix texte,benjamin von stuckradbarre,2002,goldmann
3548362206,schaaan reich sein,peter gaymann,2000,ullstein tb
3499174898,miteinander reden: stoerungen und klaerungen: psychologie der zwischenmenschlichen kommunikation band,friedemann schulz von thun,1981,rowohlt
3442447690,die tote im falschen grab,ruth rendell,2000,goldmann
3596108977,rote sonne schwarzes land,barbara wood,1997,fischer taschenbuch verlag
3453062345,eric eine erzaaahlung von der bizarren scheibenwelt,terry pratchett,1992,heyne
3453048520,das ruaaland haus roman,john lecarre,1991,heyne
0380713845,mischief : th precent,ed mcbain,1994,avon
0743400585,tea,stacey derasmo,2001,washington square
1575668270,cold justice,jonnie jacobs,2002,kensington corporation
0385321422,lilys crossing newbery honor book,patricia reilly giff,1997,delacorte
0060191546,life signs: the biology of star trek,susan jenkins,1998,harpercollins
034539531X,murder at the gods gate lord meren mysteries paperback,lynda s robinson,1996,fawcett
0812968727,blood of victory: a novel,alan furst,2003,random house
0688159753,the civil wars of jonah moran: a novel,marjorie reynolds,1999,william morrow & company
0375503730,quickening,laura catherine brown,2000,random house
0060192801,a member of the family,susan merrell,2000,harpercollins
1893329127,popcorn: hollywood stories,julia cameron,2000,really great
068980993X,the view from saturday newbery medal winner,el konigsburg,1996,atheneum
067942007X,written on the body,jeanette winterson,1993,random house
074592803X,a light in the window the mitford trilogy : book,jan karon,1995,lion corporation
0060548274,the last enchantment : book three of the arthurian saga arthurian saga,mary stewart,2003,eos
0373250398,the princessintraining manualdivas dont fake it,jacqueline de soignee,2003,red dress ink
0671633201,moving on : a novel,larry mcmurtry,1987,touchstone
0060193123,the bingo queens of paradise,june park,1999,cliff street
0380721783,brother wind,sue harrison,1995,avon
0316313149,drunk with love,ellen gilchrist,1987,back bay
044990847X,cain his brother,anne perry,1995,ballantine
0140168540,red sorghum: a novel of china,mo yan,1994,penguin
0802134637,nip the buds shoot the kids,kenzaburo oe,1996,grove
0312968523,hush,mark nykanen,1999,st. martin's
0061092894,john chancellor makes me cry,anne rivers siddons,1994,harpertorch
0505523191,a timetravel christmas,vivian knightjenkins,2004,love spell
0425195899,irish born,nora roberts,2003,berkley
0805062882,an army at dawn: the war in africa volume one of the liberation trilogy,rick atkinson,2002,"henry holt & company, ."
0373483422,long tall texan summer,diana palmer,1997,silhouette
0345445694,the goddesses of kitchen avenue,barbara samuel,2004,ballantine
0425163997,death at gallows green,robin paige,1998,berkley
